길이,무게,Label
25.4,242.0,1
26.3,290.0,1
26.5,340.0,1
29.0,363.0,1
29.0,430.0,1
29.7,450.0,1
29.7,500.0,1
30.0,390.0,1
30.0,450.0,1
30.7,500.0,1
31.0,475.0,1
31.0,500.0,1
31.5,500.0,1
32.0,340.0,1
32.0,600.0,1
32.0,600.0,1
33.0,700.0,1
33.0,700.0,1
33.5,610.0,1
33.5,650.0,1
34.0,575.0,1
34.0,685.0,1
34.5,620.0,1
35.0,680.0,1
35.0,700.0,1
35.0,725.0,1
35.0,720.0,1
36.0,714.0,1
36.0,850.0,1
37.0,1000.0,1
38.5,920.0,1
38.5,955.0,1
39.5,925.0,1
41.0,975.0,1
41.0,950.0,1
9.8,6.7,0
10.5,7.5,0
10.6,7.0,0
11.0,9.7,0
11.2,9.8,0
11.3,8.7,0
11.8,10.0,0
11.8,9.9,0
12.0,9.8,0
12.2,12.2,0
12.4,13.4,0
13.0,12.2,0
14.3,19.7,0
15.0,19.9,0
