기간,시도,시군구,발생건수,사망자수,부상자수
2022,경기,수원시,382,3,623
2022,경기,성남시,258,4,391
2022,경기,의정부시,129,0,228
2022,경기,안양시,130,3,229
2022,경기,부천시,205,1,323
2022,경기,안산시,251,1,414
2022,경기,평택시,292,5,502
2022,경기,광명시,58,3,83
2022,경기,구리시,49,0,86
2022,경기,양주시,85,0,129
2022,경기,여주시,42,1,62
2022,경기,화성시,276,3,422
2022,경기,시흥시,228,1,353
2022,경기,파주시,158,2,261
2022,경기,고양시,314,3,508
2022,경기,광주시,156,0,247
2022,경기,연천군,21,0,37
2022,경기,포천시,74,4,118
2022,경기,가평군,25,0,43
2022,경기,양평군,43,0,69
2022,경기,이천시,93,1,159
2022,경기,용인시,282,2,438
2022,경기,안성시,63,0,117
2022,경기,김포시,160,0,274
2022,경기,동두천시,24,0,42
2022,경기,과천시,16,1,33
2022,경기,군포시,47,1,81
2022,경기,남양주시,143,3,226
2022,경기,오산시,84,1,128
2022,경기,의왕시,50,0,105
2022,경기,하남시,67,1,104
