요일별,시간대별,발생건수,사망건수,부상건수
월,00시-02시,60,0,82
월,02시-04시,36,1,45
월,04시-06시,25,1,36
월,06시-08시,20,0,28
월,08시-10시,16,0,21
월,10시-12시,14,0,29
월,12시-14시,17,0,27
월,14시-16시,18,0,36
월,16시-18시,26,1,39
월,18시-20시,52,1,88
월,20시-22시,96,0,163
월,22시-24시,123,1,1191
화,00시-02시,69,2,109
화,02시-04시,44,1,57
화,04시-06시,23,1,29
화,06시-08시,19,0,25
화,08시-10시,34,0,58
화,10시-12시,11,0,20
화,12시-14시,16,1,19
화,14시-16시,29,0,47
화,16시-18시,32,0,59
화,18시-20시,53,0,90
화,20시-22시,94,1,144
화,22시-24시,144,2,200
수,00시-02시,84,0,121
수,02시-04시,35,0,46
수,04시-06시,35,1,58
수,06시-08시,24,0,35
수,08시-10시,32,0,61
수,10시-12시,7,0,10
수,12시-14시,12,0,19
수,14시-16시,25,0,42
수,16시-18시,27,0,50
수,18시-20시,59,1,82
수,20시-22시,128,0,211
수,22시-24시,173,3,257
목,00시-02시,97,3,145
목,02시-04시,29,0,38
목,04시-06시,27,1,33
목,06시-08시,33,2,43
목,08시-10시,29,1,48
목,10시-12시,5,1,7
목,12시-14시,10,0,22
목,14시-16시,19,0,38
목,16시-18시,31,0,47
목,18시-20시,38,1,53
목,20시-22시,128,0,217
목,22시-24시,138,0,233
금,00시-02시,107,3,164
금,02시-04시,35,0,51
금,04시-06시,25,1,41
금,06시-08시,32,0,38
금,08시-10시,14,0,15
금,10시-12시,19,0,25
금,12시-14시,15,0,26
금,14시-16시,14,0,21
금,16시-18시,39,0,51
금,18시-20시,54,0,84
금,20시-22시,133,1,228
금,22시-24시,191,1,328
토,00시-02시,136,2,220
토,02시-04시,71,1,103
토,04시-06시,62,1,89
토,06시-08시,50,1,75
토,08시-10시,39,0,81
토,10시-12시,29,0,47
토,12시-14시,21,0,37
토,14시-16시,33,0,68
토,16시-18시,49,0,94
토,18시-20시,66,0,126
토,20시-22시,134,0,273
토,22시-24시,125,1,202
일,00시-02시,121,1,184
일,02시-04시,64,0,85
일,04시-06시,37,0,63
일,06시-08시,44,0,60
일,08시-10시,21,0,34
일,10시-12시,14,0,23
일,12시-14시,19,0,37
일,14시-16시,42,0,86
일,16시-18시,50,0,111
일,18시-20시,78,0,148
일,20시-22시,108,3,201
일,22시-24시,110,1,155
